"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX51,MX26,MX32,MX1,MX5,MX9,MX12,MX16,MX20,MX23,MX30,MX33,MX37,MX41,MX45,MX48,MX6,MX10,MX13,MX17,MX21,MX24,MX27,MX31,MX34,MX42,MX52,MX7,MX11,MX14,MX18,MX22,MX25,MX28,MX35,MX39,MX43,MX53,MX4,MX44,MX47,MX50,MX54,MX38,MX42-1";"MXOnly-1U-NoLED";45;"MX-1U";;;
2;"D23,D1,D5,D9,D12,D16,D20,D26,D30,D33,D37,D41,D45,D48,D51,D2,D6,D10,D13,D17,D21,D24,D27,D31,D34,D38,D42,D46,D52,D3,D7,D11,D14,D18,D22,D25,D28,D32,D35,D39,D43,D49,D53,D4,D8,D15,D19,D29,D36,D40,D44,D47,D50,D54";"D_SOD-123";54;"D";;;
3;"R1,R2";"R_0805_2012Metric";2;"5k1";;;
4;"R3,R4";"R_0805_2012Metric";2;"22";;;
5;"P1";"USB_C_GCT_USB4085";1;"USB_C_Plug_USB2.0";;;
6;"C3,C1,C2";"C_0805_2012Metric";3;"0.1uF";;;
7;"C4";"C_0805_2012Metric";1;"10uF";;;
8;"C5,C6";"C_0805_2012Metric";2;"22pF";;;
9;"C7";"C_0805_2012Metric";1;"1uF";;;
10;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
11;"MX2,MX8,MX15,MX36,MX40,MX49,MX41-1";"MXOnly-1.25U-NoLED";7;"MX-1.25U";;;
12;"MX46,MX3";"MXOnly-1.75U-NoLED";2;"MX-1.75U";;;
13;"R5,R6";"R_0805_2012Metric";2;"10k";;;
14;"SW1";"SKQG-1155865";1;"SW_Push";;;
15;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
16;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
17;"MX19";"MXOnly-2.25U-ReversedStabilizers-NoLED";1;"MX-2.25U";;;
18;"MX29";"MXOnly-2.75U-ReversedStabilizers-NoLED";1;"MX-2.75U";;;
